January;Wednesday;TRUE;morning;1;691
January;Wednesday;TRUE;morning;1;614
January;Wednesday;TRUE;morning;1;559
January;Wednesday;TRUE;morning;0;749
January;Wednesday;TRUE;morning;1;450
January;Wednesday;TRUE;morning;0;744
January;Wednesday;TRUE;morning;0;295
January;Wednesday;TRUE;morning;1;1187
January;Wednesday;TRUE;morning;0;1461
January;Wednesday;TRUE;morning;1;403
January;Wednesday;TRUE;morning;0;572
January;Wednesday;TRUE;morning;0;1108
January;Wednesday;TRUE;morning;0;656
January;Wednesday;TRUE;morning;0;452
January;Wednesday;TRUE;morning;1;500
January;Wednesday;TRUE;morning;1;1291
January;Wednesday;TRUE;morning;1;1264
January;Wednesday;TRUE;morning;1;1231
January;Wednesday;TRUE;afternoon;0;984
January;Wednesday;TRUE;afternoon;1;1324
January;Wednesday;TRUE;afternoon;1;837
January;Wednesday;TRUE;afternoon;1;1335
January;Wednesday;TRUE;afternoon;1;1223
January;Wednesday;TRUE;afternoon;1;1118
January;Wednesday;TRUE;afternoon;1;2035
January;Wednesday;TRUE;afternoon;1;1332
January;Wednesday;TRUE;afternoon;0;793
January;Wednesday;TRUE;afternoon;0;660
January;Wednesday;TRUE;afternoon;0;526
January;Wednesday;TRUE;afternoon;1;1402
January;Saturday;FALSE;morning;1;690
January;Saturday;FALSE;morning;0;960
January;Saturday;FALSE;morning;1;516
January;Saturday;FALSE;morning;0;999
January;Saturday;FALSE;morning;0;656
January;Saturday;FALSE;morning;1;1217
January;Saturday;FALSE;morning;1;659
January;Saturday;FALSE;morning;1;580
January;Saturday;FALSE;morning;1;839
January;Saturday;FALSE;morning;0;959
January;Saturday;FALSE;morning;0;1360
January;Saturday;FALSE;morning;0;470
January;Saturday;FALSE;morning;0;630
January;Saturday;FALSE;morning;0;578
January;Saturday;FALSE;morning;0;347
January;Saturday;FALSE;morning;1;804
January;Saturday;FALSE;morning;1;859
January;Saturday;FALSE;morning;1;997
January;Saturday;FALSE;morning;1;609
January;Saturday;FALSE;morning;0;1920
January;Saturday;FALSE;afternoon;0;1013
January;Saturday;FALSE;afternoon;1;655
January;Saturday;FALSE;afternoon;0;613
January;Saturday;FALSE;afternoon;1;762
January;Saturday;FALSE;afternoon;0;781
January;Saturday;FALSE;afternoon;1;1110
January;Saturday;FALSE;afternoon;1;142
January;Saturday;FALSE;afternoon;1;522
January;Saturday;FALSE;afternoon;1;771
January;Saturday;FALSE;afternoon;0;780
January;Saturday;FALSE;afternoon;1;1355
January;Saturday;FALSE;afternoon;0;494
January;Saturday;FALSE;afternoon;0;544
January;Saturday;FALSE;afternoon;1;1225
January;Saturday;FALSE;afternoon;0;637
January;Saturday;FALSE;afternoon;0;410
January;Saturday;FALSE;afternoon;1;806
January;Saturday;FALSE;afternoon;1;559
January;Wednesday;TRUE;morning;1;1530
January;Wednesday;TRUE;morning;0;710
January;Wednesday;TRUE;morning;1;593
January;Wednesday;TRUE;morning;1;675
January;Wednesday;TRUE;morning;0;746
January;Wednesday;TRUE;morning;1;652
January;Wednesday;TRUE;morning;1;541
January;Wednesday;TRUE;morning;1;86
January;Wednesday;TRUE;morning;1;906
January;Wednesday;TRUE;morning;1;947
January;Wednesday;TRUE;morning;0;954
